model,brand,product,product_parent,file_urls,type,ean,url,thumb,source
NVR-8070-434K2S-SMA-N,Nevir,Tv Led 4343 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8070-43.pdf,Ficha,8427155023449,https://nevir.es/productos/televisores/tv-led-43/nvr-8070-434k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8070-43frontal-600x377.png,nevir.es
NVR-8070-434K2S-SMA-N,Nevir,Tv Led 4343 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8070-43manual.pdf,Manual de instrucciones,8427155023449,https://nevir.es/productos/televisores/tv-led-43/nvr-8070-434k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8070-43frontal-600x377.png,nevir.es
NVR-8070-434K2S-SMA-N,Nevir,Tv Led 4343 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8070-43label.pdf,Etiqueta Energética,8427155023449,https://nevir.es/productos/televisores/tv-led-43/nvr-8070-434k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8070-43frontal-600x377.png,nevir.es
NVR-8070-434K2S-SMA-N,Nevir,Tv Led 4343 ,Televisores ,https://nevir.es/wp-content/uploads/2021/10/USO-MOUSE-TV.pdf,USO MOUSE TV,8427155023449,https://nevir.es/productos/televisores/tv-led-43/nvr-8070-434k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8070-43frontal-600x377.png,nevir.es
NVR-8071-434K2S-SMA-N,Nevir,Tv Led 4343 ,Televisores ,https://nevir.es/wp-content/uploads/2021/07/8071-43.pdf,Ficha,8427155023463,https://nevir.es/productos/televisores/tv-led-43/nvr-8071-434k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8071-43frontal-600x377.png,nevir.es
NVR-8071-434K2S-SMA-N,Nevir,Tv Led 4343 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8071-43manual.pdf,Manual de instrucciones,8427155023463,https://nevir.es/productos/televisores/tv-led-43/nvr-8071-434k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8071-43frontal-600x377.png,nevir.es
NVR-8071-434K2S-SMA-N,Nevir,Tv Led 4343 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8071-43label.pdf,Etiqueta Energética,8427155023463,https://nevir.es/productos/televisores/tv-led-43/nvr-8071-434k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8071-43frontal-600x377.png,nevir.es
NVR-8071-434K2S-SMA-N,Nevir,Tv Led 4343 ,Televisores ,https://nevir.es/wp-content/uploads/2021/10/USO-MOUSE-TV.pdf,USO MOUSE TV,8427155023463,https://nevir.es/productos/televisores/tv-led-43/nvr-8071-434k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8071-43frontal-600x377.png,nevir.es
NVR-8075-39HD2S-SMA-N,Nevir,Tv Led 3939 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8075-39HD.pdf,Ficha,8427155023456,https://nevir.es/productos/televisores/tv-led-39/nvr-8075-39hd2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8075-39frontal-600x391.png,nevir.es
NVR-8075-39HD2S-SMA-N,Nevir,Tv Led 3939 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8070-43manual.pdf,Manual de instrucciones,8427155023456,https://nevir.es/productos/televisores/tv-led-39/nvr-8075-39hd2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8075-39frontal-600x391.png,nevir.es
NVR-8075-39HD2S-SMA-N,Nevir,Tv Led 3939 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8075-39label.pdf,Etiqueta Energética,8427155023456,https://nevir.es/productos/televisores/tv-led-39/nvr-8075-39hd2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8075-39frontal-600x391.png,nevir.es
NVR-KM9PRO-ATVB,Nevir,Smart Box Tv ,Imagen ,http://nevir.imagar.com/wp-content/uploads/2021/07/KM9PROmanual.pdf,Manual de Instrucciones,8427155015345,https://nevir.es/productos/imagen/smart-box-tv/km9pro/,https://nevir.es/wp-content/uploads/2021/07/KM9PRO-ATVB_montaje-600x404.png,nevir.es
NVR-KM9PRO-ATVB,Nevir,Smart Box Tv ,Imagen ,http://nevir.imagar.com/wp-content/uploads/2021/07/KM9PRO.pdf,Ficha,8427155015345,https://nevir.es/productos/imagen/smart-box-tv/km9pro/,https://nevir.es/wp-content/uploads/2021/07/KM9PRO-ATVB_montaje-600x404.png,nevir.es
NVR-KM9PRO-ATVB,Nevir,Smart Box Tv ,Imagen ,https://nevir.es/wp-content/uploads/2021/07/manual-apps.pdf,Manual Instalación APKs,8427155015345,https://nevir.es/productos/imagen/smart-box-tv/km9pro/,https://nevir.es/wp-content/uploads/2021/07/KM9PRO-ATVB_montaje-600x404.png,nevir.es
NVR-2324 DVD-U,Nevir,Dvd Sobremesa ,Imagen ,http://nevir.imagar.com/wp-content/uploads/2021/07/2324conexiones.pdf,Conexiones,8427155502586,https://nevir.es/productos/imagen/dvd-sobremesa/nvr-2324-dvd-u/,https://nevir.es/wp-content/uploads/2021/07/2324-600x600.png,nevir.es
NVR-2324 DVD-U,Nevir,Dvd Sobremesa ,Imagen ,http://nevir.imagar.com/wp-content/uploads/2021/07/2324manual.pdf,Manual de Instrucciones,8427155502586,https://nevir.es/productos/imagen/dvd-sobremesa/nvr-2324-dvd-u/,https://nevir.es/wp-content/uploads/2021/07/2324-600x600.png,nevir.es
NVR-2324 DVD-U,Nevir,Dvd Sobremesa ,Imagen ,http://nevir.imagar.com/wp-content/uploads/2021/07/2331-2324.pdf,Ficha,8427155502586,https://nevir.es/productos/imagen/dvd-sobremesa/nvr-2324-dvd-u/,https://nevir.es/wp-content/uploads/2021/07/2324-600x600.png,nevir.es
NVR-7302-TDT10P2,Nevir,Tv Portatil 77 A 1010 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/7302-10manual.pdf,Manual de Instrucciones,8427155022732,https://nevir.es/productos/televisores/tv-portatil-7-a-10/nvr-7302-tdt10p2-2/,https://nevir.es/wp-content/uploads/2021/07/7302-10frontal-600x456.png,nevir.es
NVR-7710-32RD2-N,Nevir,Tv Led 3232 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/09/7710-32.pdf,Ficha,8427155023500,https://nevir.es/productos/televisores/tv-led-32/nvr-7710-32rd2-n/,https://nevir.es/wp-content/uploads/2021/09/7710-32frontal-e1632818059586-600x415.png,nevir.es
NVR-7710-32RD2-N,Nevir,Tv Led 3232 ,Televisores ,https://nevir.imagar.com/wp-content/uploads/simple-file-list/Manuales/7710-32manual.pdf,Manual de instrucciones,8427155023500,https://nevir.es/productos/televisores/tv-led-32/nvr-7710-32rd2-n/,https://nevir.es/wp-content/uploads/2021/09/7710-32frontal-e1632818059586-600x415.png,nevir.es
NVR-843SBBU,Nevir,Barras De Sonido ,Sonido ,https://nevir.es/wp-content/uploads/simple-file-list/Manuales/843manual.pdf,Manual de Instrucciones,8427155012412,https://nevir.es/productos/sonido/barras-de-sonido/nvr-843sbbu/,https://nevir.es/wp-content/uploads/2021/10/843frontal-600x600.png,nevir.es
NVR-2331 DVD-HU,Nevir,Dvd Sobremesa ,Imagen ,http://nevir.imagar.com/wp-content/uploads/2021/07/2331conexiones.pdf,Conexiones,8427155502708,https://nevir.es/productos/imagen/dvd-sobremesa/nvr-2331-dvd-hu/,https://nevir.es/wp-content/uploads/2021/07/2331-600x600.png,nevir.es
